,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,18 Feb 16,1.1084,126.17,1.9558,27.030,7.4635,,4.3306,0.77143,309.49,,,4.3817,4.4615,9.4014,,1.1028,N/A,9.5235,7.6175,83.4772,3.2884,1.5496,4.4527,1.5168,7.2242,8.6222,14951.15,75.9461,1362.20,20.2110,4.6237,1.6728,52.695,1.5564,39.422,17.0657
,19 Feb 16,1.1096,125.40,1.9558,27.023,7.4625,,4.3410,0.77715,309.11,,,4.3777,4.4670,9.3838,,1.1017,N/A,9.5358,7.6180,85.1924,3.2903,1.5605,4.4854,1.5274,7.2378,8.6268,14988.04,75.9715,1368.69,20.2927,4.6836,1.6761,52.843,1.5617,39.668,17.1380
,22 Feb 16,1.1026,124.85,1.9558,27.022,7.4620,,4.3086,0.78243,307.84,,,4.3646,4.4767,9.3572,,1.1008,N/A,9.4930,7.6300,83.4916,3.2512,1.5322,4.3755,1.5128,7.1909,8.5679,14824.67,75.5948,1351.19,19.9350,4.6171,1.6521,52.517,1.5469,39.418,16.8486
,23 Feb 16,1.1002,123.12,1.9558,27.028,7.4618,,4.2965,0.77985,307.63,,,4.3668,4.4648,9.3510,,1.0921,N/A,9.4590,7.6260,82.7990,3.2298,1.5202,4.3570,1.5116,7.1814,8.5480,14736.51,75.4059,1353.46,19.8974,4.6346,1.6452,52.397,1.5484,39.321,16.6401
,24 Feb 16,1.0981,122.86,1.9558,27.047,7.4621,,4.3112,0.78935,310.55,,,4.3680,4.4775,9.3636,,1.0914,N/A,9.5858,7.6260,84.6894,3.2336,1.5319,4.3793,1.5197,7.1794,8.5333,14766.34,75.2885,1359.58,20.0815,4.6603,1.6620,52.346,1.5478,39.213,17.0655
,25 Feb 16,1.1027,124.01,1.9558,27.052,7.4617,,4.3015,0.78920,310.86,,,4.3581,4.4673,9.3808,,1.0935,N/A,9.5413,7.6220,83.9575,3.2248,1.5292,4.3527,1.5025,7.2026,8.5676,14787.76,75.9485,1366.74,20.0011,4.6500,1.6487,52.532,1.5463,39.322,17.1657
,26 Feb 16,1.1006,124.42,1.9558,27.064,7.4600,,4.2930,0.78745,310.52,,,4.3631,4.4639,9.3710,,1.0929,N/A,9.5245,7.6230,83.0450,3.2347,1.5275,4.3356,1.4909,7.1954,8.5511,14715.02,75.6010,1360.34,19.9233,4.6352,1.6347,52.276,1.5428,39.236,17.2528
,29 Feb 16,1.0888,123.14,1.9558,27.057,7.4602,,4.2556,0.78580,311.26,,,4.3543,4.4757,9.3219,,1.0914,N/A,9.5043,7.6263,82.6432,3.2273,1.5260,4.3394,1.4767,7.1351,8.4651,14559.43,74.3825,1347.54,19.8005,4.5870,1.6557,51.615,1.5325,38.827,17.4563
,1 Mar 16,1.0872,122.94,1.9558,27.056,7.4591,,4.2332,0.77800,310.15,,,4.3468,4.4653,9.3650,,1.0860,N/A,9.4070,7.6263,80.2270,3.2089,1.5196,4.3519,1.4699,7.1230,8.4539,14500.00,73.7700,1340.06,19.5872,4.5163,1.6475,51.341,1.5238,38.709,17.2024
,2 Mar 16,1.0856,124.07,1.9558,27.046,7.4580,,4.2191,0.77410,309.96,,,4.3297,4.4585,9.3385,,1.0845,N/A,9.4220,7.6040,80.0729,3.1903,1.5010,4.2523,1.4595,7.1125,8.4400,14445.17,73.3115,1334.29,19.4214,4.5215,1.6404,51.327,1.5226,38.615,17.0097
